,Volume
319,135067261.1
320,135259836.3
321,139258105.7
322,146268333.9
323,155480013
324,164884683.3
325,172554257.4
326,176464494
327,175212181.8
328,169349916.8
329,161249659.8
330,153595284.4
331,148701575.7
332,147792388
333,150664642.2
334,156876553.3
335,165402318.2
336,174429849
337,182261110.3
338,187273408.7
339,187915806.2
340,183709954.7
341,175831487.3
342,166967509.7
343,159089170.8
344,154529007.9
345,155005837.4
346,159502698
347,165346665.2
348,171449770.6
349,176538856.2
350,179672611.7
351,180025528.9
352,176726666.3
353,169767322.7
354,160654586.1
355,151788735.9
356,145497141.2
357,142843085.8
358,144138677.9
359,156928640.4
360,160009936.7
361,161934126.9
362,161842459.3
363,158734341.8
364,153184915.4
365,146767359.8
366,141606556.6
367,139175859.3
368,140282472.3
369,143962243.4
370,147935388.5
371,151057271.7
372,153495105.5
373,155911367.3
374,158103892.1
375,158874815.9
376,157341843.8
377,154022110.6
378,150816240.3
379,149617298.8
380,151607175
381,155697314.4
382,159218625.8
383,161018498.8
384,161747525.9
385,162497380.1
386,164398185.1
387,166796441.9
388,167933673.2
389,166969126.5
390,164905298.4
391,163801721.9
392,164896720.4
393,167327604.3
394,168177086.3
395,166686154.2
396,164039787.9
397,162183557.7
398,162926378.8
399,166363672.3
400,171612143.8
401,176540473.7
402,179947806.2
403,182768024.2
404,185402941.5
405,187556186.5
406,188888066.5
407,187375585.4
408,183461804.3
409,180148481.1
410,179679636
411,182911203.7
412,188476381.8
413,194092190.6
414,198577340.6
415,202160116.1
416,205359865.9
417,207642840.6
418,207630001.6
419,203735167.3
420,196507812.8
421,188602143.2
422,183137698.8
423,182009254.1
424,184886948.4
425,189622931.3
426,194133708
427,197739957.4
428,200426994.3
429,201672109.4
430,200165162.6
431,194564740.5
432,185366470.4
433,174875040.5
434,165936624.2
435,160681204.9
436,159893515.3
437,162982867.5
438,168113334.9
439,173399703.9
440,178214061.9
441,181830499.3
442,182814427.2
443,179746178.8
444,172691036.3
445,163300877.2
446,154159451.6
447,147596391
448,145013300.7
449,146984270.2
450,152750138.6
451,160532306.7
452,169036439.7
453,177056376.3
454,182885961.8
455,184780715.4
456,181970575.6
457,175693887.3
458,168196090.1
459,161865801.5
460,158574910.2
461,159267755.2
462,163826422.9
463,171247719
464,179824336.1
465,187815255.4
466,193670368.2
467,195490939.4
468,192857951.7
469,187267061.8
470,179445128.6
471,170227045.2
472,162769611.8
473,158642617.6
474,158485268.1
475,161679206.2
476,167312207.9
477,173796912.6
478,178770177.2
479,180910729.5
480,179486687.7
481,174614856.9
482,167254296
483,158961437.3
484,151641006.7
485,146776124.8
486,145373835.7
487,148017511.1
488,153703000.3
489,160549692.1
490,166933657.4
491,171220077.6
492,172548674.9
493,170756345.1
494,166201458.7
495,160062863.9
496,154686172.1
497,151316905.3
498,150635643
499,153343948.3
500,159231791
501,166925210.2
502,174362807.6
503,179526779.9
504,182317069.1
505,182774044.5
506,180608765.3
507,176158007.5
508,171100247
509,167098302.8
510,165708526
511,167420984.4
512,172263884.9
513,178821457.4
514,185123079.5
515,189521787.9
516,191353579.4
517,190725335.5
518,187989239.5
519,183606912.3
520,178076850.9
521,173028429.7
522,170157481
523,170442140.1
524,173812541.9
525,178662672.9
526,182965911.5
527,185550859.4
528,186168935.1
529,185160981.4
530,182629030.3
531,178603908.9
532,173632238.4
533,168838175.8
534,165793116.7
535,165531376.3
536,167840869.8
537,171267628.6
538,174040728.8
539,175165193.9
540,174898394
541,175612041.8
542,176070314.7
543,173091901.4
544,168763547.8
545,164440323.2
546,161499611.2
547,160583251.5
548,162015261.1
549,164692619.1
550,166782793.9
551,167559898.3
552,167355986.6
553,167046634.9
554,166831765.4
555,166262780.7
556,165022941.8
557,163270994.6
558,161760976.3
559,161390066.4
560,162204743.4
561,162977455.3
562,162220820.3
563,159848232.5
564,157052839.7
565,155066855.3
566,154463732.3
567,154923121.4
568,155407324.1
569,155568441.4
570,155989800.4
571,157254020.2
572,159106618.5
573,160189926.6
574,158996874.1
575,155658522.3
576,151819046.8
577,149328350.2
578,149191857.4
